Date,Open,High,Low,Close,Adj Close,Volume
23/05/2023,1972.400024,1972.400024,1972.400024,1972.400024,1972.400024,1
22/05/2023,1980.5,1980.5,1974.800049,1974.800049,1974.800049,8
19/05/2023,1960,1978.699951,1960,1978.699951,1978.699951,106
18/05/2023,1956.5,1956.800049,1956.5,1956.5,1956.5,23
17/05/2023,1983.599976,1983.599976,1980.699951,1980.699951,1980.699951,13
16/05/2023,1988.400024,1988.400024,1988.400024,1988.400024,1988.400024,49
15/05/2023,2013.800049,2018,2013.800049,2018,2018,3
12/5/2023,2014.5,2014.5,2014.5,2014.5,2014.5,115
11/5/2023,2034.099976,2038.300049,2014,2014.699951,2014.699951,90
10/5/2023,2032.300049,2044.300049,2029.5,2030.5,2030.5,248
9/5/2023,2026.599976,2037.300049,2025.900024,2036.199951,2036.199951,241
8/5/2023,2022.5,2026.300049,2022.5,2026.300049,2026.300049,3
5/5/2023,2046.400024,2046.400024,2004.300049,2017.400024,2017.400024,59
4/5/2023,2045,2072,2040,2048,2048,930
3/5/2023,2017.099976,2035.099976,2015.199951,2028.599976,2028.599976,1349
2/5/2023,1994.699951,2018,1994.699951,2014.300049,2014.300049,1896
1/5/2023,1980.099976,2005,1976.900024,1983.400024,1983.400024,210
28/04/2023,1986.900024,1990.099976,1977.699951,1990.099976,1990.099976,152
27/04/2023,1990.599976,2002.300049,1979.900024,1989.900024,1989.900024,355
26/04/2023,1997.800049,1998.800049,1985.599976,1985.699951,1985.699951,615
25/04/2023,1995.699951,1999.099976,1982.300049,1994,1994,306
24/04/2023,1981.300049,1989.800049,1977.400024,1989.099976,1989.099976,145
21/04/2023,1996.199951,1996.199951,1974.099976,1979.5,1979.5,132
20/04/2023,1998,2007.599976,1998,2007.599976,2007.599976,164
19/04/2023,2005.699951,2006.400024,1969.800049,1995.199951,1995.199951,61
18/04/2023,1996.900024,2007.400024,1996.900024,2007.400024,2007.400024,72
17/04/2023,2002.699951,2007.599976,1983.199951,1994.199951,1994.199951,554
14/04/2023,2041,2047.800049,1995,2002.199951,2002.199951,718
13/04/2023,2015.599976,2048.600098,2015.599976,2041.300049,2041.300049,1043
12/4/2023,2005.199951,2025.699951,2005.199951,2010.900024,2010.900024,172
11/4/2023,1991.400024,2006.5,1991.400024,2004.800049,2004.800049,68
10/4/2023,2000,2006.599976,1984,1989.099976,1989.099976,652
6/4/2023,2022.199951,2023.300049,2005,2011.900024,2011.900024,0
5/4/2023,2022.099976,2033.800049,2013.599976,2020.900024,2020.900024,525
4/4/2023,1984.599976,2027.099976,1979,2022.199951,2022.199951,811
3/4/2023,1968.099976,1991.699951,1950,1983.900024,1983.900024,737
31/03/2023,1981.300049,1986.800049,1968,1969,1969,957
30/03/2023,1965.900024,1984.400024,1954.900024,1980.300049,1980.300049,10119
29/03/2023,1966.099976,1966.099976,1966.099976,1966.099976,1966.099976,88563
28/03/2023,1972.400024,1972.400024,1972.400024,1972.400024,1972.400024,21
27/03/2023,1957.199951,1957.199951,1952.400024,1952.400024,1952.400024,877
24/03/2023,1991.699951,1995.400024,1982.099976,1982.099976,1982.099976,19
23/03/2023,1990.5,1994.599976,1990.5,1993.800049,1993.800049,33
22/03/2023,1946.800049,1974,1946.800049,1946.800049,1946.800049,50
21/03/2023,1973.800049,1973.800049,1938,1938,1938,47
20/03/2023,1988.300049,2003.900024,1968.900024,1979.199951,1979.199951,389
17/03/2023,1946,1985.099976,1946,1969.800049,1969.800049,82
16/03/2023,1909.900024,1931.699951,1909.900024,1919,1919,394
15/03/2023,1903.900024,1926.599976,1898.5,1926.599976,1926.599976,564
14/03/2023,1912.199951,1912.199951,1901.099976,1906.199951,1906.199951,107
13/03/2023,1890.800049,1913.099976,1875.099976,1911.699951,1911.699951,503
10/3/2023,1852.300049,1868.5,1852,1862,1862,248
9/3/2023,1816.400024,1829.300049,1815.599976,1829.300049,1829.300049,332
8/3/2023,1811.599976,1812.900024,1811.5,1812.699951,1812.699951,75
7/3/2023,1840.900024,1840.900024,1813.900024,1813.900024,1813.900024,450
6/3/2023,1853.300049,1853.800049,1844.199951,1847.900024,1847.900024,5
3/3/2023,1837.300049,1855.400024,1837.300049,1847.699951,1847.699951,61
2/3/2023,1830,1836.300049,1830,1833.5,1833.5,154
1/3/2023,1827.099976,1841.699951,1827.099976,1837.699951,1837.699951,211
28/02/2023,1808.099976,1830,1808.099976,1828.900024,1828.900024,618
27/02/2023,1811.599976,1817.5,1808.900024,1817,1817,829
24/02/2023,1808.800049,1808.800049,1808.800049,1808.800049,1808.800049,404
23/02/2023,1826.400024,1827.5,1818,1818,1818,291
22/02/2023,1835.699951,1836.199951,1825.099976,1832,1832,278
21/02/2023,1842.599976,1843,1833,1833,1833,862
17/02/2023,1827.400024,1842.199951,1818.400024,1840.400024,1840.400024,35
16/02/2023,1838.599976,1843.699951,1827.199951,1842,1842,222
15/02/2023,1842,1842,1828.199951,1834.199951,1834.199951,368
14/02/2023,1854.099976,1862,1846.199951,1854,1854,656
13/02/2023,1859,1861,1850,1851.900024,1851.900024,569
10/2/2023,1861.599976,1863.5,1852.400024,1862.800049,1862.800049,27
9/2/2023,1875.300049,1884.599976,1859.800049,1866.199951,1866.199951,223
8/2/2023,1872.099976,1880.400024,1872.099976,1877.400024,1877.400024,230
7/2/2023,1870,1875.699951,1868,1871.699951,1871.699951,297
6/2/2023,1865.599976,1880,1863.400024,1866.199951,1866.199951,424
3/2/2023,1912.400024,1917,1861.5,1862.900024,1862.900024,992
2/2/2023,1952.300049,1959.099976,1911.300049,1916.300049,1916.300049,748
1/2/2023,1927.199951,1955,1922,1927.800049,1927.800049,2290
31/01/2023,1923,1930.400024,1900.599976,1929.5,1929.5,1910
30/01/2023,1928.300049,1933.599976,1920.300049,1922.900024,1922.900024,27220
27/01/2023,1928.599976,1928.599976,1928.599976,1928.599976,1928.599976,150902
26/01/2023,1936.599976,1937.099976,1927.099976,1929.099976,1929.099976,131
25/01/2023,1941.199951,1941.199951,1939.800049,1941.199951,1941.199951,7
24/01/2023,1931.800049,1936.800049,1931.800049,1933.900024,1933.900024,201
23/01/2023,1926.5,1927.099976,1915,1927.099976,1927.099976,218
20/01/2023,1922.099976,1928.5,1921.400024,1926.400024,1926.400024,1346
19/01/2023,1922.099976,1931.800049,1922.099976,1922.099976,1922.099976,371
18/01/2023,1911.099976,1911.099976,1903.099976,1904.400024,1904.400024,1027
17/01/2023,1920.099976,1920.099976,1905.199951,1907.199951,1907.199951,706
16/01/2023,1920.099976,1920.099976,1912.400024,1912.400024,1912.400024,512
13/01/2023,1899,1920.900024,1898.300049,1918.400024,1918.400024,512
12/1/2023,1877.199951,1897.400024,1877.199951,1895.5,1895.5,59
11/1/2023,1873.099976,1877.800049,1873.099976,1874.599976,1874.599976,1236
10/1/2023,1877.800049,1878.099976,1871.599976,1871.599976,1871.599976,101
9/1/2023,1867,1880,1867,1872.699951,1872.699951,62
6/1/2023,1838.400024,1868.199951,1835.300049,1864.199951,1864.199951,26
5/1/2023,1855.199951,1855.199951,1834.800049,1834.800049,1834.800049,24
4/1/2023,1845.599976,1859.099976,1845.599976,1852.800049,1852.800049,25
3/1/2023,1836.199951,1839.699951,1836.199951,1839.699951,1839.699951,29
30/12/2022,1817,1822.300049,1816.800049,1819.699951,1819.699951,95
29/12/2022,1805.800049,1819.5,1805.800049,1819.5,1819.5,277
28/12/2022,1803.199951,1807.900024,1803.099976,1807.900024,1807.900024,434
27/12/2022,1803.400024,1826.300049,1803.400024,1814.800049,1814.800049,69
23/12/2022,1794.300049,1802.800049,1794.099976,1795.900024,1795.900024,49
22/12/2022,1818.099976,1818.099976,1785,1787,1787,411
21/12/2022,1817.400024,1821.400024,1814.400024,1815.900024,1815.900024,35
20/12/2022,1786.5,1821.400024,1786.5,1815.900024,1815.900024,51
19/12/2022,1791.599976,1796.300049,1785.599976,1787.699951,1787.699951,79
16/12/2022,1777.900024,1791.400024,1777.900024,1790,1790,206
15/12/2022,1801,1801,1774.800049,1777.199951,1777.199951,421
14/12/2022,1810.800049,1812.800049,1797.900024,1807.5,1807.5,1074
13/12/2022,1780.699951,1819.800049,1780.5,1813.900024,1813.900024,205
12/12/2022,1787.300049,1793.900024,1777.699951,1780.5,1780.5,85
9/12/2022,1794.900024,1804.300049,1791.099976,1798.099976,1798.099976,125
8/12/2022,1782,1790.900024,1782,1788.699951,1788.699951,713
7/12/2022,1769.300049,1790.300049,1769.300049,1785.5,1785.5,422
6/12/2022,1768.599976,1779.400024,1767.900024,1769.300049,1769.300049,105
5/12/2022,1795.699951,1808,1764.300049,1767.400024,1767.400024,1713
2/12/2022,1802,1802.300049,1779.400024,1795.900024,1795.900024,1725
1/12/2022,1768.699951,1803.699951,1768.699951,1801.099976,1801.099976,1053
30/11/2022,1748.099976,1769.400024,1745.099976,1746,1746,3339
29/11/2022,1739.5,1758.199951,1737.900024,1748.400024,1748.400024,19416
28/11/2022,1741.300049,1741.300049,1740.099976,1740.099976,1740.099976,132767
25/11/2022,1753,1757.900024,1749.199951,1753.300049,1753.300049,216
23/11/2022,1736.5,1750.900024,1736.5,1744.900024,1744.900024,39
22/11/2022,1741.699951,1741.699951,1738.300049,1738.300049,1738.300049,15
21/11/2022,1739,1744.900024,1736.099976,1737.400024,1737.400024,544
18/11/2022,1763.300049,1763.300049,1747.599976,1751.900024,1751.900024,414
17/11/2022,1763,1763,1756,1760.800049,1760.800049,18
16/11/2022,1776.599976,1778.900024,1773,1773,1773,303
15/11/2022,1770.800049,1773.800049,1769.900024,1773.800049,1773.800049,57
14/11/2022,1762,1773.599976,1761.599976,1773.599976,1773.599976,358
11/11/2022,1763.800049,1766,1757.599976,1766,1766,257
10/11/2022,1708.199951,1750.300049,1708.199951,1750.300049,1750.300049,325
9/11/2022,1707.400024,1720.199951,1706,1710.099976,1710.099976,497
8/11/2022,1703.199951,1712.099976,1703.199951,1712.099976,1712.099976,23
7/11/2022,1676.900024,1677.900024,1672.900024,1676.5,1676.5,42
4/11/2022,1630.199951,1674.5,1629,1672.5,1672.5,159
3/11/2022,1629.199951,1629.199951,1615.099976,1627.300049,1627.300049,1427
2/11/2022,1650.800049,1664.699951,1634,1645.699951,1645.699951,612
1/11/2022,1630.800049,1653.699951,1630.800049,1645,1645,985
31/10/2022,1641.800049,1641.800049,1633.400024,1635.900024,1635.900024,522
28/10/2022,1661,1661,1638.699951,1639.599976,1639.599976,626
27/10/2022,1660.699951,1660.699951,1660.699951,1660.699951,1660.699951,2298
26/10/2022,1649.800049,1667,1649.800049,1664,1664,89
25/10/2022,1648.199951,1652.800049,1637.300049,1652.800049,1652.800049,880
24/10/2022,1662.699951,1662.699951,1648.699951,1648.699951,1648.699951,29
21/10/2022,1634.099976,1653.900024,1634.099976,1651,1651,224
20/10/2022,1622.800049,1641.400024,1622.800049,1630.800049,1630.800049,477
19/10/2022,1637.5,1637.5,1627.5,1627.5,1627.5,84
18/10/2022,1651.400024,1655.199951,1649,1649,1649,597
17/10/2022,1650.199951,1657,1646.800049,1657,1657,238
14/10/2022,1665.300049,1667,1640,1641.699951,1641.699951,82
13/10/2022,1675.199951,1675.300049,1641.5,1670,1670,729
12/10/2022,1668,1672.699951,1668,1670.300049,1670.300049,149
11/10/2022,1661.800049,1678.699951,1661,1678.699951,1678.699951,167
10/10/2022,1693.400024,1693.400024,1667,1667.300049,1667.300049,195
7/10/2022,1710.099976,1710.099976,1693.699951,1700.5,1700.5,179
6/10/2022,1721,1723.300049,1709.099976,1711.699951,1711.699951,133
5/10/2022,1724.099976,1726.599976,1703,1711.400024,1711.400024,418
4/10/2022,1701.199951,1728,1696,1721.099976,1721.099976,291
3/10/2022,1667.199951,1700,1661.900024,1692.900024,1692.900024,410
30/09/2022,1661.699951,1672.699951,1658,1662.400024,1662.400024,548
29/09/2022,1657,1662.599976,1640,1658.5,1658.5,6028
28/09/2022,1620.400024,1660.400024,1620.400024,1660.400024,1660.400024,18311
27/09/2022,1632.199951,1636.599976,1626.699951,1626.699951,1626.699951,888
26/09/2022,1623.300049,1623.300049,1623.300049,1623.300049,1623.300049,1205
23/09/2022,1667,1667,1645.300049,1645.300049,1645.300049,1224
22/09/2022,1668.300049,1670.800049,1668.300049,1670.800049,1670.800049,973
21/09/2022,1665.5,1680.099976,1664.599976,1664.599976,1664.599976,2337
20/09/2022,1659.699951,1659.699951,1659.699951,1659.699951,1659.699951,2830
19/09/2022,1661.800049,1669.400024,1658.5,1666.199951,1666.199951,580
16/09/2022,1660.400024,1674.900024,1651.699951,1671.699951,1671.699951,464
15/09/2022,1685.5,1686,1662.300049,1665.400024,1665.400024,1125
14/09/2022,1698.699951,1701.800049,1696.5,1696.5,1696.5,532
13/09/2022,1720.5,1720.5,1697.300049,1705,1705,432
12/9/2022,1727.400024,1728.099976,1727.400024,1728.099976,1728.099976,68
9/9/2022,1719.199951,1720,1712.800049,1716.199951,1716.199951,635
8/9/2022,1718.199951,1718.199951,1705.300049,1708,1708,1193
7/9/2022,1694.800049,1715.300049,1694.699951,1715.300049,1715.300049,651
6/9/2022,1709.699951,1717.400024,1699.699951,1700.400024,1700.400024,697
2/9/2022,1703.400024,1715.699951,1703.099976,1709.800049,1709.800049,182
1/9/2022,1707.900024,1707.900024,1693.900024,1696.599976,1696.599976,683
31/08/2022,1718.300049,1720.900024,1708.5,1712.800049,1712.800049,2133
30/08/2022,1736.400024,1739,1720.699951,1723.199951,1723.199951,385
29/08/2022,1732.400024,1741.199951,1732.099976,1736.599976,1736.599976,950
26/08/2022,1754,1755,1736.099976,1736.099976,1736.099976,202
25/08/2022,1761.599976,1761.800049,1755,1757.699951,1757.699951,172
24/08/2022,1745,1751.800049,1743.599976,1747.800049,1747.800049,187
